,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kolkata Knight Riders,0.8571428571428571,0.3,1.0,1.1428571428571428,2.4,0.6,2.2,1.1666666666666667,1.1428571428571428
Chennai Super Kings,1.2857142857142858,1.3333333333333333,1.2857142857142858,2.2,1.25,2.0,1.6666666666666667,1.4285714285714286,
Rajasthan Royals,4.333333333333333,0.8571428571428571,0.75,0.8571428571428571,0.7777777777777778,1.5714285714285714,1.0,1.0,
Mumbai Indians,1.0,0.625,2.2,1.6666666666666667,1.4285714285714286,2.1666666666666665,0.875,1.6666666666666667,1.0
Deccan Chargers,0.16666666666666666,1.2857142857142858,1.0,0.75,0.36363636363636365,,,,
Kings XI Punjab,2.0,1.0,0.4,1.0,1.0,1.0,2.4,0.2727272727272727,0.4
Royal Challengers Bangalore,0.4,1.2857142857142858,1.0,1.6666666666666667,1.1428571428571428,1.2857142857142858,0.5555555555555556,1.0,1.2857142857142858
Delhi Daredevils,1.0,2.0,1.0,0.4,1.5714285714285714,0.23076923076923078,0.16666666666666666,0.5555555555555556,1.0
Kochi Tuskers Kerala,,,,0.75,,,,,
Pune Warriors,,,,0.4,0.3333333333333333,0.3333333333333333,,,
Sunrisers Hyderabad,,,,,,1.4285714285714286,0.75,1.0,1.8333333333333333
Rising Pune Supergiants,,,,,,,,,0.5555555555555556
Gujarat Lions,,,,,,,,,1.2857142857142858
